title,license,access_level,keywords,last_validation_date,update_frequency,last_update_date,last_update_location,over_due_frequency_ratio,num_hosted_data_files,num_linked_data_files,num_supporting_files,organization,groups,as_of
Business Retention and Expansion (BR+E) community business surveys,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Business and economy",2017-01-23,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Business Risk Management monthly report,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,monthly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Business Risk Management program payments,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Business risk management programs- agriculture,License Not Specified,under_review,"Agriculture and Food, Economy and Business, Business and economy",2017-01-24,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Cadastral Location  ,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Government",2015-04-30,as_required,2015-04-30,external_link,,0,1,0,Natural Resources and Forestry,,2020-09-10
Calls for Service and the Average Time to Respond to the calls,License Not Specified,under_review,"Justice and Public Safety, Government",2017-02-01,yearly,,,,0,0,0,Solicitor General,,2020-09-10
Canada child tax benefit,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,other,,,,0,0,0,Finance,,2020-09-10
Canada Ontario Job Grant (COJG) - client data,License Not Specified,under_review,"Education and Training, Economy and Business, Jobs and employment",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Canada Ontario Job Grant (COJG) - employer data,License Not Specified,under_review,"Education and Training, Economy and Business, Jobs and employment",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Canada Postal Code Data,License Not Specified,restricted,"Justice and Public Safety, Home and community",2016-10-14,yearly,,,,0,0,0,Attorney General,,2020-09-10
Canada Revenue Agency Income Verification Request System,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-13,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Canada/Ontario agreements on French Language Services,License Not Specified,under_review,"Government and Finance, Government",2017-01-05,as_required,,,,0,0,0,Francophone Affairs,,2020-09-10
Canada’s Economic Action Plan - Infrastructure Stimulus Fund,License Not Specified,under_review,"Economy and Business, Government and Finance, Infrastructure and Transportation, Government",2017-01-20,as_required,,,,0,0,0,Infrastructure,,2020-09-10
Canadian Community Health Survey (CCHS),License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2017-01-13,yearly,,,,0,0,0,Health,,2020-09-10
Canadian Joint Replacement Registry,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,quarterly,,,,0,0,0,Health,,2020-09-10
Canadian Management Information System Database,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,yearly,,,,0,0,0,Health,,2020-09-10
Cancelled Authorization to Perform Marriages,License Not Specified,under_review,"Government and Finance, Home and community",2016-10-05,as_required,,,,0,0,0,Government and Consumer Services,,2020-09-10
Cancer Activity Level Reporting (ALR),License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario annual audited financial statements,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,yearly,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario collection statistics,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario data access,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario data disclosures for research,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario data linkages,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario data sharing agreements,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario diagnostic data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario employee information,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario Freedom of Information requests,License Not Specified,under_review,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
"Cancer Care Ontario general ledger, budget and transactions",License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario media metrics,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,monthly,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario privacy audit program,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario privacy breaches,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario privacy complaints,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario privacy impact assessments,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario procurement,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario service agreements,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,as_required,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario social media metrics,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,monthly,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario supporting ledgers,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario vendor dataset,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario wait times data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer Care Ontario website analytics,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,monthly,,,,0,0,0,Health,,2020-09-10
Cancer drugs funded by Ontario Public Drug Programs,Queen's Printer for Ontario,open,"Health, Health and wellness",2019-02-01,yearly,2019-02-01,external_link,0.6082191780821918,0,1,0,Health,,2020-09-10
Cancer pathology reports,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer reporting by primary care providers,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer screening claims history,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Cancer screening correspondence data,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,other,,,,0,0,0,Health,,2020-09-10
Cancer screening data,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,other,,,,0,0,0,Health,,2020-09-10
Capacity Assessor Roster,License Not Specified,under_review,"Justice and Public Safety, Government",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Capital grants to colleges and universities,Open Government Licence – Ontario,open,"Education and Training, Government and Finance, Education and training",2014-04-09,yearly,2014-04-09,external_link,5.427397260273972,0,4,0,"Training, Colleges and Universities",,2020-09-10
Capital refresh inventory,License Not Specified,restricted,"Education and Training, Economy and Business, Government",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Caribou Range Boundary,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2013-07-02,as_required,2013-07-02,external_link,,0,1,0,Natural Resources and Forestry,,2020-09-10
Carnegie libraries,Queen's Printer for Ontario,open,"Economy and Business, Culture and Recreation, Government",2016-09-16,other,2016-09-16,external_link,,0,2,0,"Tourism, Culture and Sport",,2020-09-10
Carpool lots ,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads, carpool, parking lots, commute",2012-10-09,as_required,2012-10-22,external_link,,0,2,0,Transportation,,2020-09-10
Case-by-Case Review Program (CBCRP) data,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,quarterly,,,,0,0,0,Health,,2020-09-10
Case Management on Demand (CMOD) - Global Experience Ontario (GEO) version,License Not Specified,restricted,"Education and Training, Government",2017-01-05,as_required,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Case Management On Demand (CMOD) - Ontario Immigrant Nominee (OINP) version,License Not Specified,restricted,"Housing Communities and Social Support, Government",2017-01-05,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
"Case Management On-Demand, Ontario Honours and Awards Secretariat (OHAS) version",License Not Specified,restricted,"Housing Communities and Social Support, Government",2017-01-05,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Case Management Review Tool,License Not Specified,restricted,"Justice and Public Safety, Government",2017-02-01,other,,,,0,0,0,Solicitor General,,2020-09-10
Case mix methodologies grouping tables,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,yearly,,,,0,0,0,Health,,2020-09-10
Case mix relative resource use tables,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,yearly,,,,0,0,0,Health,,2020-09-10
Catalogue of natural resource scientific and technical publications,Queen's Printer for Ontario,open,"Economy and Business, Environment and Natural Resources",,,,,,0,2,0,Natural Resources and Forestry,,2020-09-10
Celebrate Ontario events,License Not Specified,under_review,"Economy and Business, Culture and Recreation, Government",2016-09-16,yearly,,,,0,0,0,"Tourism, Culture and Sport",,2020-09-10
"Census Data for 2001, 2006 and 2011",License Not Specified,restricted,"Economy and Business, Environment and Natural Resources, Government",2016-08-22,other,,,,0,0,0,Natural Resources and Forestry,,2020-09-10
Census of agriculture,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Government",2017-01-24,other,2017-01-24,external_link,,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
CensusPlus Database,License Not Specified,restricted,"Justice and Public Safety, Home and community",2016-10-14,yearly,,,,0,0,0,Attorney General,,2020-09-10
Central Region service contract tracking template,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-10-14,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Certificate of origin diamond application,License Not Specified,restricted,"Economy and Business, Environment and Natural Resources, Business and economy",2016-10-13,as_required,,,,0,0,0,"Energy, Northern Development and Mines",,2020-09-10
Certified examiners,Open Government Licence – Ontario,open,"Agriculture and Food, Economy and Business, Rural and north",2012-10-10,as_required,2012-10-10,external_link,,0,2,0,Agriculture Food and Rural Affairs,,2020-09-10
Cervical screening data,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,other,,,,0,0,0,Health,,2020-09-10
Changing Workplaces Review (CWR) - research and public consultation,License Not Specified,under_review,"Education and Training, Economy and Business, Government",2016-08-03,as_required,,,,0,0,0,Labour,,2020-09-10
Characteristics of elementary and secondary school classes,License Not Specified,under_review,"Education and Training, Education and training",2017-02-22,yearly,,,,0,0,0,Education,,2020-09-10
Charges for driving while using a mobile device,Open Government Licence – Ontario,open,"Justice and Public Safety, Law and safety",2015-04-30,other,2015-04-30,external_link,,0,2,0,Attorney General,,2020-09-10
Charitable Properties: Complaints,License Not Specified,restricted,"Justice and Public Safety, Law and safety",2016-10-14,other,,,,0,0,0,Attorney General,,2020-09-10
Charitable Properties: Corporate Charities,License Not Specified,restricted,"Justice and Public Safety, Home and community",2016-10-14,other,,,,0,0,0,Attorney General,,2020-09-10
Charitable Properties: Litigation,License Not Specified,restricted,"Justice and Public Safety, Law and safety",2016-10-14,other,,,,0,0,0,Attorney General,,2020-09-10
Child Abuse Register data,License Not Specified,restricted,"Justice and Public Safety, Housing Communities and Social Support, Law and safety",2016-12-21,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Child and Adolescent Functional Assessment Scale (CAFAS) clients admitted to treatment ,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government",2016-04-01,historical,2016-04-01,external_link,,0,1,1,"Children, Community and Social Services",,2020-09-10
Child and Family Services Act licensing data (Field Worker Services),License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Child and Parent Resource Institute data using a child/youth suite of tools,License Not Specified,restricted,"Housing Communities and Social Support, Government",2016-12-21,quarterly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Child and youth mental health service regions,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Health, Health and wellness",2015-04-30,as_required,2015-04-30,external_link,,0,2,1,Health,,2020-09-10
Child and youth mental health services,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Health, Health and wellness",2020-06-24,yearly,2020-06-04,hosted,,1,0,1,Health,,2020-09-10
"Child care financial reports - Consolidated Municipal Service Managers (CMSMs) and District Social Services Administration Boards (DSSABs) - Estimates, Revised Estimates and Financial Statements",License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Education and training",2017-02-22,yearly,,,,0,0,0,Education,,2020-09-10
Child care financial reports on Family Support Programs,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Education and training",2017-02-22,yearly,,,,0,0,0,Education,,2020-09-10
Child care financial reports on First Nations,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Education and training",2017-02-22,yearly,,,,0,0,0,Education,,2020-09-10
Child care staff,License Not Specified,restricted,"Housing Communities and Social Support, Education and Training, Home and community",2017-02-22,other,,,,0,0,0,Education,,2020-09-10
Child care supplement for working families: accounts receivable,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,monthly,,,,0,0,0,Finance,,2020-09-10
Child care supplement for working families: operating statistics,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,monthly,,,,0,0,0,Finance,,2020-09-10
Child care supplement for working families: overpaid child care supplements,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,monthly,,,,0,0,0,Finance,,2020-09-10
Child care supplement for working families: set-off report,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,monthly,,,,0,0,0,Finance,,2020-09-10
Child care supplement set-offs,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Taxes and benefits",2016-10-05,monthly,,,,0,0,0,Finance,,2020-09-10
Child death reporting,License Not Specified,restricted,"Housing Communities and Social Support, Government",2016-12-21,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Child death reporting data - North Region,License Not Specified,restricted,"Housing Communities and Social Support, Government",2016-12-21,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
CHILD system - Children’s Information and Legal Database,License Not Specified,restricted,"Justice and Public Safety, Law and safety",2016-10-14,other,,,,0,0,0,Attorney General,,2020-09-10
Child Victim Witness Centres statistical reporting,Open Government Licence – Ontario,open,"Justice and Public Safety, Law and safety",2015-04-30,yearly,2015-04-30,external_link,4.367123287671233,0,2,0,Attorney General,,2020-09-10
Child Welfare Agency Multi-Year Results Based Plan Aggregated Database and Summary Report,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children and youth mental health: organizational and clinical data,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government",2016-04-01,yearly,2016-04-01,external_link,3.4465753424657533,0,2,2,"Children, Community and Social Services",,2020-09-10
Children and Youth Services budget data,License Not Specified,restricted,"Housing Communities and Social Support, Government and Finance, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
"Children and Youth Services procurement approval, compliance and tracking",License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2016-12-22,quarterly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children and youth services transfer payment agency collective bargaining data,License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2016-12-21,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children in need of treatment (CINOT) program data,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2018-07-31,other,,,,0,0,0,Health,,2020-09-10
"Children, Youth and Social Services Information & Information Technology Cluster applications listing",License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-22,quarterly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s aid society accountability agreement monitoring data,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Aid Society approved budget allocations,License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Aid Society audited financial statements and child welfare transfer payment annual reconciliation reports,License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Aid Society budget submissions,License Not Specified,under_review,"Housing Communities and Social Support, Government and Finance, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Aid Society catchment areas,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s aid society quality improvement plan progress reporting data,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,quarterly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Aid Society quarterly year to date reports,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,quarterly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s aid society service delivery and efficiency indicator data,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,as_required,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Children’s Treatment Centre boundaries,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Government",2015-04-30,as_required,2015-04-30,external_link,,0,1,0,"Children, Community and Social Services",,2020-09-10
Children’s Treatment Centre (CTC) locations,Open Government Licence – Ontario,open,"Health, Health and wellness",2020-04-05,yearly,2020-04-05,external_link,,0,2,2,Health,2019 Novel Coronavirus,2020-09-10
Chronic Wasting Disease (CWD) surveillance in farmed cervids,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Health and wellness",2017-01-24,quarterly,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Chronic wasting disease surveillance in members of the deer family,Ontario.ca Terms of Use,open,"Economy and Business, Environment and Natural Resources, Environment and energy",2019-03-26,yearly,2019-03-26,external_link,0.4602739726027397,0,2,0,Natural Resources and Forestry,,2020-09-10
Claims History Database,License Not Specified,restricted,"Government and Finance, Health, Health and wellness",2018-07-31,as_required,,,,0,0,0,Health,,2020-09-10
Classes with one or more educators assigned,License Not Specified,restricted,"Education and Training, Education and training",2017-02-22,yearly,,,,0,0,0,Education,,2020-09-10
Clear Quest Implementation/Maintenance,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,as_required,,,,0,0,0,Health,,2020-09-10
Client Agency Program Enrolment (CAPE),License Not Specified,restricted,"Health, Health and wellness",2017-01-13,other,,,,0,0,0,Health,,2020-09-10
Client contact information of Foods of Plant Origin (FPO) program,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Government",2017-01-23,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
"Client interactions with Food Safety Programs Unit of the Ministry of Agriculture, Food and Rural Affairs",License Not Specified,restricted,"Agriculture and Food, Economy and Business, Government",2017-01-24,as_required,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Client lawyer contacts,License Not Specified,restricted,"Justice and Public Safety, Law and safety",2016-10-14,as_required,,,,0,0,0,Attorney General,,2020-09-10
Client Profile (CPRO) Database,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2017-01-13,monthly,,,,0,0,0,Health,,2020-09-10
Client Relationship Management for agriculture and economic development accounts in rural Ontario,License Not Specified,restricted,"Agriculture and Food, Economy and Business, Government",2017-01-23,other,,,,0,0,0,Agriculture Food and Rural Affairs,,2020-09-10
Client relationship management roll-up reports,License Not Specified,under_review,"Economy and Business, Environment and Natural Resources, Government",2016-10-13,monthly,,,,0,0,0,"Energy, Northern Development and Mines",,2020-09-10
Client service request reports from Family Responsibility Office (FRO) online service,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-10-14,other,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Clients served by the Child and Parent Resource Institute Services,License Not Specified,restricted,"Housing Communities and Social Support, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Climate data – High resolution projections,Open Government Licence – Ontario,open,"Environment and Natural Resources, Government",2016-03-21,as_required,2016-03-21,external_link,,0,1,1,"Environment, Conservation and Parks",,2020-09-10
Co-op Diploma Apprenticeship (CODA) program: Client data,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Co-op Diploma Apprenticeship (CODA) program: College data,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Co-op Diploma Apprenticeship (CODA) program: Employer data,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,other,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Coaches Registration Information,License Not Specified,under_review,"Economy and Business, Culture and Recreation, Government",2016-09-16,yearly,,,,0,0,0,"Tourism, Culture and Sport",,2020-09-10
Collaborative staging data for cancer diagnoses,License Not Specified,restricted,"Health, Health and wellness",2018-07-31,other,,,,0,0,0,Health,,2020-09-10
Collection of automotive supplier data,License Not Specified,restricted,"Economy and Business, Business and economy",2017-01-20,as_required,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Collective bargaining highlights,License Not Specified,under_review,"Education and Training, Economy and Business, Government",2016-08-03,quarterly,,,,0,0,0,Labour,,2020-09-10
College enrolment,Open Government Licence – Ontario,open,"Education and Training, Education and training",2019-10-25,yearly,2019-10-25,hosted,,1,0,0,"Training, Colleges and Universities",,2020-09-10
College enrolments - 1996 to 2011,Open Government Licence – Ontario,open,"Education and Training, Education and training",2015-11-04,yearly,2015-11-04,external_link,3.852054794520548,0,3,0,"Training, Colleges and Universities",,2020-09-10
College financial information,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
College graduate outcomes and employer satisfaction survey,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
College graduate outcomes survey,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
College graduate rate,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
College program standards,Queen's Printer for Ontario,open,Education and Training,,as_required,,,,0,2,0,Colleges and Universities,,2020-09-10
College student enrolment data,License Not Specified,restricted,"Education and Training, Education and training",2016-12-13,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
College student satisfaction survey,License Not Specified,under_review,"Education and Training, Education and training",2016-11-17,yearly,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
Collisions: Traffic Collisions within Ontario Provincial Police Jurisdiction,License Not Specified,under_review,"Justice and Public Safety, Driving and roads",2017-02-01,yearly,,,,0,0,0,Community Safety and Correctional Services,,2020-09-10
Colon cancer LIRT data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Colon cancer prescription claims data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
ColonCancerCheck laboratory reporting,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Colonoscopy screening data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Commercial intelligence database subscriptions,License Not Specified,under_review,"Economy and Business, Government",2017-01-20,yearly,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Commercial motor vehicle operator data,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
Commercial vehicle flows by road network,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2015-04-30,other,2015-04-30,external_link,,0,2,0,Transportation,,2020-09-10
Commercial vehicle origin and destination data,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
Committee to Evaluate Drugs (CED) Recommendation Report dataset,License Not Specified,restricted,"Government and Finance, Health, Government",2017-01-17,monthly,,,,0,0,0,Health,,2020-09-10
Common Data Set /Mental Health (CDS /MH),License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2017-01-17,monthly,,,,0,0,0,Health,,2020-09-10
Common service standards telephone and email audit results,License Not Specified,restricted,"Housing Communities and Social Support, Government",2017-01-05,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Commonwealth health care survey data,License Not Specified,restricted,"Health, Health and wellness",2018-07-26,yearly,,,,0,0,0,Health,,2020-09-10
Communication aid vendors,Open Government Licence – Ontario,open,Health,,,,,,0,2,0,Health,,2020-09-10
Communities in Transition financial summary,License Not Specified,restricted,"Economy and Business, Government and Finance, Business and economy",2017-01-20,as_required,,,,0,0,0,"Economic Development, Job Creation and Trade",,2020-09-10
Community Care Access Centre (CCAC) 9000 Nurses Initiative,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2018-07-26,other,,,,0,0,0,Health,,2020-09-10
Community Care Access Centre (CCAC) Health Based Allocation Model (HBAM) workbooks,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2018-07-26,yearly,,,,0,0,0,Health,,2020-09-10
Community Care Access Centre (CCAC) service volumes,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2018-07-26,yearly,,,,0,0,0,Health,,2020-09-10
Community Care Access Centre (CCACs) locations,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Health, Home and community",2017-01-17,historical,2017-01-17,hosted,,1,0,2,Health,,2020-09-10
Community Health Centre (CHC) locations,Open Government Licence – Ontario,open,"Housing Communities and Social Support, Health, Health and wellness",2020-04-05,other,2020-04-05,external_link,,0,1,0,Health,2019 Novel Coronavirus,2020-09-10
Community Information Centres Pay Equity Grant,License Not Specified,under_review,"Economy and Business, Culture and Recreation, Government",2016-09-16,other,,,,0,0,0,"Tourism, Culture and Sport",,2020-09-10
Community Museum Operating and Pay Equity Grants,License Not Specified,under_review,"Economy and Business, Culture and Recreation, Government",2016-09-16,periodically,,,,0,0,0,"Tourism, Culture and Sport",,2020-09-10
Community outreach at the Child and Parent Resource Institute,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
Community paramedicine program data,License Not Specified,restricted,"Housing Communities and Social Support, Health, Health and wellness",2018-07-26,quarterly,,,,0,0,0,Health,,2020-09-10
Community Policing Partnership Program,License Not Specified,under_review,"Justice and Public Safety, Housing Communities and Social Support, Home and community",2017-02-01,yearly,,,,0,0,0,Solicitor General,,2020-09-10
Community Satisfaction Survey,License Not Specified,under_review,"Justice and Public Safety, Home and community",2017-02-01,yearly,,,,0,0,0,Solicitor General,,2020-09-10
Community small business investment funds,Open Government Licence – Ontario,open,"Economy and Business, Government and Finance, Taxes and benefits",2014-04-07,yearly,2014-04-07,external_link,5.432876712328767,0,2,0,Finance,,2020-09-10
